PD009DT0000.2900;Сапоги женские;Черный;40;8059782210253;0;0;1;Stefanel
UD002DT0001.2050;Ботинки женские;Белый;40;8059782340851;0;0;2;Stefanel
VH003DT0000.2050;Брелок;Белый;UN.;8059782676592;900;450;6;Stefanel
VH003DT0000.2750;Брелок;Голубой;UN.;8059782676608;900;360;5;Stefanel
HD009DT0000.2890;Слиперы женские;Синий;40;8059782627082;0;0;1;Stefanel
HN010DT0000.2450;Браслет женский;Красный;UN.;8059782679647;0;0;9;Stefanel
Зонт Unit Standard;Зонт-трость белый;"""";UN.;4680259046903;0;0;9;Stefanel
Ambielectric Car;Комплект Ambielectric Car (для автомобиля) с ароматом Affair;"""";UN.;4606711701760;0;0;13;Stefanel
P016.OBSI;Кулон женский;"""";UN.;2000000050515;16 900;5 070;1;Marion Vidal
10553.Berring.Rosa;Сандалии женские;"""";37;2000000050805;12 900;3 870;2;Del Carlo
10553.Berring.Rosa;Сандалии женские;"""";40;2000000050836;12 900;3 870;1;Del Carlo
10553.Berring.Rosa;Сандалии женские;"""";41;2000000050843;12 900;3 870;1;Del Carlo
10534.Bohol.Nero;Слипоны женские;"""";38;2000000050881;15 900;4 770;1;Del Carlo
10514.Othos.Nero;Босоножки женские;"""";38;2000000051062;27 900;8 370;1;Del Carlo
10514.Othos.Nero;Босоножки женские;"""";40;2000000051086;27 900;8 370;2;Del Carlo
10519.Sulu.Off white;Сандалии женские;"""";37;2000000051239;15 900;4 770;1;Del Carlo
10514.Othos.Nero;Босоножки женские;"""";36;2000000051048;27 900;8 370;1;Del Carlo
10519.Sulu.Nero;Сандалии женские;"""";36;2000000051161;15 900;4 770;1;Del Carlo
10519.Sulu.Nero;Сандалии женские;"""";38;2000000051185;15 900;4 770;1;Del Carlo
10519.Sulu.Nero;Сандалии женские;"""";40;2000000051208;15 900;4 770;1;Del Carlo
10519.Sulu.Nero;Сандалии женские;"""";41;2000000051215;15 900;4 770;1;Del Carlo
10519.Sulu.Off white;Сандалии женские;"""";39;2000000051253;15 900;4 770;1;Del Carlo
10519.Sulu.Off white;Сандалии женские;"""";40;2000000051260;15 900;4 770;1;Del Carlo
10546.Flores.Sabbia;Босоножки женские;"""";39;2000000051314;29 900;8 970;1;Del Carlo
E413.PL.CR;Сережки женские;"""";UN.;2000000083582;19 900;5 970;1;Marion Vidal
H003.PL.PB;Брошь женская;"""";UN.;2000000083599;15 900;4 770;2;Marion Vidal
